ci_grad: 5 members from artifacts/traverse/crm_improve_20260922/deploy_v1/deploy_a3_haux_txjoint_s*.pt on cuda: kinds ['ci_train'] conds ['hist_aux'] hist_T 40; steps 60 starts 17 lr 0.02/0.1 keep pessimistic abstain 0.3
  [131/800] f104_crm_eval_group_0130 B z -8.201 (pess -7.913) -> G abstain | valid 17/17 | 3.41s (cem 0.37 refine 2.98 [60 steps] finals 0.05)
  [132/800] f104_crm_eval_group_0131 B z -8.248 (pess -7.885) -> G abstain | valid 17/17 | 3.41s (cem 0.37 refine 2.97 [60 steps] finals 0.05)
  [133/800] f104_crm_eval_group_0132 B z -8.220 (pess -7.918) -> G abstain | valid 17/17 | 3.40s (cem 0.37 refine 2.96 [60 steps] finals 0.05)
  [134/800] f104_crm_eval_group_0133 B z -7.705 (pess -7.400) -> G z -7.958 (pess -7.719) gain 0.316 from B/sample step 60 | valid 17/17 | 3.39s (cem 0.37 refine 2.96 [60 steps] finals 0.05)
  [135/800] f104_crm_eval_group_0134 B z -8.137 (pess -7.811) -> G abstain | valid 17/17 | 3.41s (cem 0.37 refine 2.97 [60 steps] finals 0.05)
  [136/800] f104_crm_eval_group_0135 B z -7.176 (pess -6.573) -> G z -7.852 (pess -7.688) gain 1.115 from round0/anchor step 60 | valid 17/17 | 3.39s (cem 0.36 refine 2.97 [60 steps] finals 0.05)
  [137/800] f104_crm_eval_group_0136 B z -8.162 (pess -7.860) -> G abstain | valid 17/17 | 3.40s (cem 0.37 refine 2.96 [60 steps] finals 0.05)
  [138/800] f104_crm_eval_group_0137 B z -4.611 (pess 1.735) -> G z -7.606 (pess -7.410) gain 9.145 from B/sample step 25 | valid 17/17 | 3.40s (cem 0.37 refine 2.97 [60 steps] finals 0.05)
  [139/800] f104_crm_eval_group_0138 B z -8.119 (pess -7.655) -> G abstain | valid 17/17 | 3.42s (cem 0.37 refine 2.98 [60 steps] finals 0.05)
  [140/800] f104_crm_eval_group_0139 B z -8.279 (pess -7.892) -> G abstain | valid 17/17 | 3.41s (cem 0.37 refine 2.98 [60 steps] finals 0.05)
  [141/800] f104_crm_eval_group_0140 B z -8.263 (pess -7.933) -> G abstain | valid 17/17 | 3.40s (cem 0.36 refine 2.98 [60 steps] finals 0.05)
